step,train_loss,validation_loss,validation_mae,validation_explained_variance
22000,0.00850291084498167,0.011895794421434402,0.08810018002986908,0.9989428520202637
22200,0.008430488407611847,0.01177897397428751,0.0877719521522522,0.9989532232284546
22400,0.00842984113842249,0.011936917901039124,0.08826374262571335,0.9989396333694458
22600,0.00845936220139265,0.012021074071526527,0.08856472373008728,0.9989328980445862
22800,0.008519531227648258,0.011912266723811626,0.08817737549543381,0.9989415407180786
23000,0.008540118113160133,0.01191467884927988,0.08825960755348206,0.9989412426948547
23200,0.00845892634242773,0.01190878264605999,0.08821609616279602,0.9989421963691711
23400,0.008444061502814293,0.011915715411305428,0.08811450004577637,0.9989418387413025
23600,0.00854209903627634,0.011793979443609715,0.08787568658590317,0.9989519119262695
23800,0.008575455285608768,0.011850200593471527,0.08800600469112396,0.9989468455314636
24000,0.0085147088393569,0.011913014575839043,0.08810403198003769,0.9989413022994995
24200,0.008470133878290653,0.011963631957769394,0.0883169174194336,0.9989371299743652
24400,0.008448366075754166,0.011871691793203354,0.08799100667238235,0.9989449381828308
24600,0.008501249365508556,0.011838766746222973,0.0879739448428154,0.9989480972290039
24800,0.008425449021160603,0.011857476085424423,0.08802761137485504,0.9989462494850159
25000,0.008361292071640491,0.01183662936091423,0.08797164261341095,0.9989480376243591
25200,0.008427889086306095,0.011859636753797531,0.08801349252462387,0.9989461302757263
25400,0.008530826307833195,0.011881720274686813,0.08803233504295349,0.9989442825317383
25600,0.008436277508735657,0.011861412785947323,0.08801591396331787,0.9989458322525024
25800,0.008436053059995174,0.011950861662626266,0.08829125016927719,0.9989384412765503
26000,0.008512536995112896,0.011846516281366348,0.08798836171627045,0.9989472031593323
26200,0.00860259123146534,0.011861560866236687,0.08799067884683609,0.9989458322525024
26400,0.008493566885590553,0.01189345121383667,0.08811862766742706,0.9989433288574219
26600,0.008508501574397087,0.011870286427438259,0.08804753422737122,0.9989450573921204
26800,0.0084543377161026,0.011891035363078117,0.08811251074075699,0.9989433288574219
27000,0.008584734983742237,0.011843882501125336,0.0879933163523674,0.9989473819732666
27200,0.008462896570563316,0.011880936101078987,0.08809957653284073,0.9989441633224487
27400,0.008471173234283924,0.011895306408405304,0.08812969923019409,0.9989431500434875
27600,0.008377308957278728,0.011884428560733795,0.08808460831642151,0.9989438056945801
27800,0.008435230702161789,0.011898236349225044,0.08813188970088959,0.9989427924156189
28000,0.008371971547603607,0.011887811124324799,0.08808992803096771,0.998943567276001
28200,0.008474347181618214,0.011898494325578213,0.08812066167593002,0.9989426732063293
28400,0.008479615673422813,0.011875497177243233,0.08806555718183517,0.9989446401596069
28600,0.008352029137313366,0.0118731539696455,0.08805860579013824,0.9989448189735413
28800,0.00846417061984539,0.011881585232913494,0.08807676285505295,0.9989441633224487
29000,0.008492673747241497,0.011887948028743267,0.08810381591320038,0.9989436268806458
29200,0.008448826149106026,0.011886367574334145,0.08809435367584229,0.9989437460899353
29400,0.008383200503885746,0.011877883225679398,0.08806820213794708,0.9989444613456726
29600,0.008387289941310883,0.011887988075613976,0.08809049427509308,0.998943567276001
29800,0.008402376435697079,0.011883256956934929,0.08808329701423645,0.9989439845085144
30000,0.008389497175812721,0.011892367154359818,0.08810795843601227,0.9989432096481323
30200,0.008480660617351532,0.011888477951288223,0.08809766173362732,0.998943567276001
30400,0.008381463587284088,0.011889394372701645,0.08810167014598846,0.9989434480667114
30600,0.008403691463172436,0.01188878994435072,0.0880979523062706,0.9989435076713562
30800,0.00847365241497755,0.01188972033560276,0.08809894323348999,0.9989434480667114
31000,0.008293859660625458,0.011888218112289906,0.08809420466423035,0.998943567276001
31200,0.008416782133281231,0.011887420900166035,0.08809202909469604,0.9989436268806458
31400,0.008499570190906525,0.011886646039783955,0.08808929473161697,0.9989436864852905
31600,0.0083688385784626,0.011887097731232643,0.08809100091457367,0.9989436864852905
31800,0.008481455035507679,0.011886613443493843,0.08808961510658264,0.9989436864852905
32000,0.008431757800281048,0.011886673048138618,0.08808976411819458,0.9989436864852905
